値,意味
integer,整数
real,実数
string,文字列
functional,関数型
filename,ファイル名
filename_all,ファイル名。存在しないファイルも選択可能
cgns_filename,CGNSファイル名
foldername,フォルダ名
result_gridNodeInteger,格子点で定義された整数の計算結果の選択
result_gridNodeReal,格子点で定義された実数の計算結果の選択
result_gridCellInteger,格子セルで定義された整数の計算結果の選択
result_gridCellReal,格子セルで定義された実数の計算結果の選択
result_gridEdgeIInteger,I方向のエッジ定義された整数の計算結果の選択
result_gridEdgeIReal,I方向のエッジで定義された実数の計算結果の選択
result_gridEdgeJInteger,J方向のエッジ定義された整数の計算結果の選択
result_gridEdgeJReal,J方向のエッジで定義された実数の計算結果の選択
result_baseIterativeInteger,グローバルな整数の計算結果の選択
result_baseIterativeReal,グローバルな実数の計算結果の選択
